gtdb_accession	temp
RS_GCF_004337705.1	25.1765319026
RS_GCF_004342625.1	29.8326359833
RS_GCF_004345675.1	49.9946570397
RS_GCF_004346265.1	24.9744544449
RS_GCF_005843985.1	55.0
RS_GCF_006569185.2	55.0
RS_GCF_006788895.1	1.94444444444
RS_GCF_007567505.1	5.0160876654
RS_GCF_007954275.1	0.309452898699
RS_GCF_007954355.1	3.17771084337
RS_GCF_008000815.1	33.0
RS_GCF_008086595.1	1.07552582188
RS_GCF_008086615.1	0.969055374593
RS_GCF_008329945.1	28.0
RS_GCF_008931805.1	7.27782888365118
RS_GCF_009662475.1	12.1
RS_GCF_009720735.1	23.0300187617
RS_GCF_009735625.1	42.9548618909
RS_GCF_009856445.1	35.0
RS_GCF_009905255.1	32.1834447263
RS_GCF_010093135.1	29.9008575657
RS_GCF_010120595.1	29.7980696649881
RS_GCF_011761635.1	34.9859116459
RS_GCF_011801475.1	17.8877924079692
RS_GCF_013389365.1	30.5
RS_GCF_013697085.1	11.9219034629
RS_GCF_014201655.1	44.9350649351
RS_GCF_014202345.1	37.0
RS_GCF_014202435.1	24.8827920947
RS_GCF_014284475.1	1.11217210582
RS_GCF_014646935.1	78.0
RS_GCF_014698115.1	25.0859835381
RS_GCF_014698735.1	25.0066801861
RS_GCF_014905135.1	4.22196571541
RS_GCF_015277775.1	24.0
RS_GCF_015999265.1	37.0
RS_GCF_016316925.1	37.0
RS_GCF_016906995.1	10.0121455148
RS_GCF_016908145.1	60.0
RS_GCF_016908375.1	37.0
RS_GCF_017161565.1	6.5
RS_GCF_017299535.1	22.0391828392101
RS_GCF_018390735.1	19.0447560292
RS_GCF_018861315.1	8.81221774299996
RS_GCF_018861705.1	2.86087124799997
RS_GCF_018861735.1	3.10731783699998
RS_GCF_018861865.1	2.95956045999998
RS_GCF_020443705.1	-1.99140401146
RS_GCF_020748465.1	30.0
RS_GCF_022267535.1	2.9518771874
RS_GCF_022674245.1	35.0973814183
RS_GCF_023227745.1	27.8755120173
RS_GCF_023283765.1	30.0
RS_GCF_023283945.1	-0.260000000000048
RS_GCF_023555375.1	11.1193415638
RS_GCF_900087055.1	9.20106950683731
RS_GCF_900100045.1	1.79999999999995
RS_GCF_900101525.1	25.0
RS_GCF_900101845.1	24.9079754601
RS_GCF_900102615.1	29.9972826655
RS_GCF_900103425.1	39.0
RS_GCF_900103735.1	14.9431165982
RS_GCF_900103835.1	37.0
RS_GCF_900104115.1	-0.489962426194
RS_GCF_900106765.1	60.0
RS_GCF_900107035.1	39.8925232193
RS_GCF_900108185.1	22.0
RS_GCF_900111575.1	29.8710868419
RS_GCF_900111795.1	37.0197092653
RS_GCF_900111985.1	3.90503205057
RS_GCF_900114235.1	38.5
RS_GCF_900114545.1	22.3835820896
RS_GCF_900115615.1	35.0
RS_GCF_900128955.1	4.4
RS_GCF_900129115.1	30.0602409639
RS_GCF_900129175.1	60.0
RS_GCF_900129195.1	40.0285383038
RS_GCF_900129205.1	29.907546087
RS_GCF_900129265.1	55.0
RS_GCF_900129575.1	5.30358237019
RS_GCF_900129725.1	25.0
RS_GCF_900129805.1	52.0614823159
RS_GCF_900129965.1	30.0
RS_GCF_900129985.1	65.0
RS_GCF_900129995.1	44.9553022802
RS_GCF_900130025.1	25.1719043782
RS_GCF_900141795.1	37.0263157895
RS_GCF_900142145.1	42.0
RS_GCF_900142215.1	30.0
RS_GCF_900142235.1	45.0
RS_GCF_900142285.1	57.5
RS_GCF_900143255.1	4.03316410992
RS_GCF_900156105.1	37.0
RS_GCF_900163965.1	75.0
RS_GCF_900175965.1	29.8589363803
RS_GCF_900176005.1	54.9854361077
RS_GCF_900176045.1	39.99098717
RS_GCF_900176145.1	29.3
RS_GCF_900176305.1	30.0
RS_GCF_900182585.1	45.22827509
RS_GCF_900187225.1	6.09999999999997
RS_GCF_900215245.1	0.0
RS_GCF_900215515.1	50.0954348949
RS_GCF_900215655.1	45.0655021834
RS_GCF_904846215.1	0.546120038999959
RS_GCF_907165215.1	55.0
